job_id,job_title,required_skills,years_experience,salary_usd
AI00001,AI Research Scientist,"tableau, pytorch, kubernetes, linux, nlp",9,90376
AI00002,AI Software Engineer,"deep learning, aws, mathematics, python, docker",1,61895
AI00003,AI Specialist,"kubernetes, deep learning, java, hadoop, nlp",2,152626
AI00004,NLP Engineer,"scala, sql, linux, python",7,80215
AI00005,AI Consultant,"mlops, java, tableau, python",0,54624
AI00006,AI Architect,"data visualization, r, sql, linux",7,123574
AI00007,Principal Data Scientist,"r, docker, mlops",3,79670
AI00008,NLP Engineer,"python, sql, computer vision, java, azure",0,70640
AI00009,Data Analyst,"hadoop, git, mathematics, python",7,160710
AI00010,AI Software Engineer,"mlops, gcp, scala, azure, linux",5,102557
AI00011,Autonomous Systems Engineer,"mlops, python, sql",8,102322
AI00012,AI Architect,"r, data visualization, python, azure",15,115047
AI00013,AI Consultant,"tableau, python, tensorflow",5,124355
AI00014,Autonomous Systems Engineer,"scala, sql, statistics",0,68760
AI00015,AI Research Scientist,"pytorch, python, data visualization, gcp",6,150122
AI00016,AI Product Manager,"linux, statistics, deep learning",0,78846
AI00017,Principal Data Scientist,"tableau, nlp, spark",1,59823
AI00018,Machine Learning Engineer,"mlops, pytorch, azure",15,181139
AI00019,Data Engineer,"git, hadoop, r, python, spark",9,155300
AI00020,Research Scientist,"java, scala, nlp, docker, computer vision",4,93851
AI00021,Data Engineer,"deep learning, aws, azure",3,134197
AI00022,Autonomous Systems Engineer,"tableau, spark, nlp, tensorflow, pytorch",2,102550
AI00023,ML Ops Engineer,"hadoop, git, tableau",7,99382
AI00024,AI Product Manager,"git, hadoop, docker",4,52167
AI00025,ML Ops Engineer,"aws, azure, git, sql, computer vision",2,53923
AI00026,Robotics Engineer,"linux, git, tableau, kubernetes, data visualization",6,109779
AI00027,ML Ops Engineer,"hadoop, linux, git, scala",2,80979
AI00028,Data Analyst,"mathematics, kubernetes, tensorflow, tableau, pytorch",2,52997
AI00029,Head of AI,"python, scala, nlp, mathematics, git",0,42819
AI00030,ML Ops Engineer,"azure, python, computer vision, kubernetes, tensorflow",2,82083
AI00031,Head of AI,"deep learning, gcp, aws, linux, tableau",1,67488
AI00032,Research Scientist,"azure, python, spark",1,68624
AI00033,Robotics Engineer,"nlp, scala, python",7,146852
AI00034,ML Ops Engineer,"tableau, azure, gcp, linux, python",16,178183
AI00035,Deep Learning Engineer,"r, gcp, mlops, linux",8,150864
AI00036,Head of AI,"git, hadoop, data visualization",10,126942
AI00037,AI Architect,"data visualization, tableau, aws, mathematics, python",2,53752
AI00038,Robotics Engineer,"linux, pytorch, sql, statistics",18,111381
AI00039,AI Specialist,"tableau, docker, gcp",1,41430
AI00040,Data Engineer,"computer vision, azure, tableau",15,166080
AI00041,Data Scientist,"data visualization, azure, spark, mlops",2,96956
AI00042,AI Architect,"java, mathematics, sql",8,196954
AI00043,AI Specialist,"spark, mathematics, gcp",1,56745
AI00044,Machine Learning Researcher,"hadoop, docker, python, azure",8,113455
AI00045,ML Ops Engineer,"docker, r, linux",5,158808
AI00046,AI Research Scientist,"data visualization, statistics, r",7,174663
AI00047,AI Research Scientist,"scala, java, tableau",1,46753
AI00048,AI Software Engineer,"java, azure, gcp",4,69020
AI00049,AI Specialist,"deep learning, git, data visualization, linux, java",12,288815
AI00050,AI Consultant,"hadoop, aws, linux, docker, statistics",19,124871
AI00051,AI Architect,"deep learning, sql, mathematics",4,70391
AI00052,Research Scientist,"linux, r, azure, mathematics, git",17,115376
AI00053,Research Scientist,"docker, tableau, mathematics",3,106579
AI00054,Data Scientist,"r, pytorch, kubernetes, computer vision",8,135230
AI00055,Research Scientist,"python, tableau, tensorflow, aws",4,67607
AI00056,AI Architect,"azure, kubernetes, tensorflow, statistics, spark",3,88470
AI00057,Autonomous Systems Engineer,"python, docker, gcp, scala",4,79863
AI00058,Machine Learning Engineer,"git, linux, python, tensorflow, mathematics",0,60299
AI00059,Machine Learning Engineer,"pytorch, computer vision, r",4,85645
AI00060,AI Software Engineer,"r, spark, aws",8,110222
AI00061,Data Scientist,"tableau, nlp, azure, statistics, pytorch",1,49365
AI00062,Data Scientist,"tensorflow, azure, computer vision, data visualization",6,162296
AI00063,AI Consultant,"tensorflow, scala, docker, statistics",3,102382
AI00064,AI Software Engineer,"java, r, deep learning, nlp, azure",4,99972
AI00065,Data Engineer,"java, git, deep learning",0,64129
AI00066,AI Specialist,"mathematics, spark, python, aws",8,87938
AI00067,Autonomous Systems Engineer,"sql, java, mlops, linux, pytorch",4,71405
AI00068,Machine Learning Engineer,"python, scala, statistics, git",12,316182
AI00069,Machine Learning Researcher,"hadoop, python, kubernetes, azure",0,72459
AI00070,Principal Data Scientist,"mlops, kubernetes, git, python",3,78338
AI00071,NLP Engineer,"aws, kubernetes, azure",4,51907
AI00072,Autonomous Systems Engineer,"pytorch, kubernetes, git, sql",7,122831
AI00073,Machine Learning Researcher,"nlp, azure, statistics, spark, mathematics",3,124820
AI00074,Autonomous Systems Engineer,"linux, r, tableau",9,134200
AI00075,Data Engineer,"scala, r, tableau, data visualization",0,51920
AI00076,Data Engineer,"mathematics, kubernetes, spark",0,56427
AI00077,AI Product Manager,"kubernetes, spark, statistics, scala",16,213783
AI00078,ML Ops Engineer,"mlops, sql, statistics",2,59728
AI00079,Computer Vision Engineer,"scala, mlops, nlp",6,119432
AI00080,AI Research Scientist,"pytorch, linux, sql",12,284486
AI00081,Data Analyst,"git, kubernetes, tensorflow, r, java",17,157597
AI00082,ML Ops Engineer,"r, tableau, sql, mlops, docker",19,196942
AI00083,Machine Learning Researcher,"nlp, azure, spark, data visualization",10,207548
AI00084,NLP Engineer,"java, sql, spark, tableau, azure",3,68838
AI00085,ML Ops Engineer,"docker, python, git, kubernetes, java",13,125666
AI00086,NLP Engineer,"git, mlops, hadoop, python, spark",0,73174
AI00087,Autonomous Systems Engineer,"sql, kubernetes, docker",0,33314
AI00088,AI Specialist,"r, nlp, sql, gcp",0,69914
AI00089,Principal Data Scientist,"spark, sql, python, mathematics, linux",11,152118
AI00090,AI Software Engineer,"pytorch, hadoop, scala, computer vision",0,78014
AI00091,Research Scientist,"hadoop, spark, kubernetes, python",0,48466
AI00092,Data Analyst,"hadoop, python, tensorflow, r, statistics",8,97997
AI00093,Principal Data Scientist,"computer vision, pytorch, gcp, linux",9,128341
AI00094,AI Research Scientist,"java, hadoop, mathematics",3,111528
AI00095,Machine Learning Researcher,"linux, r, nlp, pytorch, git",19,138945
AI00096,NLP Engineer,"statistics, python, tensorflow, pytorch, git",8,98688
AI00097,Data Analyst,"kubernetes, scala, java",6,109029
AI00098,NLP Engineer,"deep learning, statistics, computer vision, tensorflow, mathematics",4,84797
AI00099,Machine Learning Researcher,"python, aws, kubernetes, deep learning",12,290199
AI00100,AI Research Scientist,"aws, kubernetes, docker, mathematics, mlops",8,195691
AI00101,AI Product Manager,"scala, git, java",9,193448
AI00102,AI Product Manager,"azure, aws, pytorch, gcp, hadoop",16,138466
AI00103,Data Analyst,"spark, mathematics, pytorch, sql, tensorflow",3,91577
AI00104,Computer Vision Engineer,"sql, python, deep learning",3,92875
AI00105,Data Engineer,"tensorflow, gcp, pytorch, spark",13,213287
AI00106,NLP Engineer,"git, sql, pytorch, mathematics",2,62171
AI00107,AI Research Scientist,"data visualization, pytorch, spark, tensorflow",16,152658
AI00108,ML Ops Engineer,"tensorflow, sql, nlp, computer vision, git",2,95085
AI00109,Deep Learning Engineer,"java, r, git, mathematics, spark",2,86750
AI00110,AI Specialist,"pytorch, docker, gcp",2,64261
AI00111,Machine Learning Researcher,"computer vision, hadoop, git, aws",18,205357
AI00112,AI Architect,"tensorflow, linux, sql, hadoop",18,165676
AI00113,Computer Vision Engineer,"sql, scala, python",9,114658
AI00114,Data Scientist,"nlp, computer vision, mathematics, statistics, r",6,143149
AI00115,Machine Learning Researcher,"azure, r, linux, mlops",7,116276
AI00116,NLP Engineer,"r, aws, computer vision, statistics, docker",0,61055
AI00117,ML Ops Engineer,"kubernetes, sql, azure, deep learning, linux",0,50303
AI00118,Data Analyst,"pytorch, sql, mlops, aws, tensorflow",7,65570
AI00119,AI Software Engineer,"mlops, r, git, mathematics",17,231078
AI00120,AI Product Manager,"linux, scala, sql, git",9,106633
AI00121,AI Specialist,"git, deep learning, kubernetes, linux, gcp",9,121180
AI00122,Principal Data Scientist,"git, sql, scala, python, computer vision",0,64531
AI00123,Machine Learning Engineer,"python, tableau, java",4,125654
AI00124,Machine Learning Researcher,"docker, aws, linux, git, azure",14,182275
AI00125,Machine Learning Researcher,"pytorch, scala, linux, tableau, deep learning",4,117708
AI00126,Data Engineer,"docker, sql, kubernetes, git, statistics",11,143246
AI00127,AI Product Manager,"statistics, r, python, tensorflow",5,203198
AI00128,Research Scientist,"kubernetes, azure, spark, tensorflow, linux",0,69487
AI00129,AI Product Manager,"gcp, r, azure, deep learning, pytorch",17,95673
AI00130,AI Software Engineer,"spark, python, deep learning, linux, java",1,59405
AI00131,AI Specialist,"aws, r, spark",5,131756
AI00132,AI Software Engineer,"python, tensorflow, pytorch",0,42835
AI00133,Autonomous Systems Engineer,"statistics, python, sql",1,61893
AI00134,ML Ops Engineer,"hadoop, azure, python, r",13,141791
AI00135,AI Product Manager,"computer vision, gcp, azure, sql, python",11,258637
AI00136,NLP Engineer,"hadoop, java, data visualization",2,49485
AI00137,Robotics Engineer,"computer vision, sql, pytorch, java",8,172916
AI00138,Machine Learning Engineer,"hadoop, python, git, tensorflow",11,324557
AI00139,AI Consultant,"pytorch, statistics, mlops, kubernetes, computer vision",4,73894
AI00140,Principal Data Scientist,"linux, aws, computer vision, deep learning",9,122598
AI00141,Data Scientist,"pytorch, tensorflow, hadoop, python",4,94478
AI00142,Autonomous Systems Engineer,"gcp, kubernetes, computer vision, deep learning, sql",1,53088
AI00143,Machine Learning Researcher,"sql, mlops, python",3,116012
AI00144,Deep Learning Engineer,"python, hadoop, deep learning",0,35593
AI00145,AI Product Manager,"gcp, linux, r, hadoop",17,149053
AI00146,Principal Data Scientist,"tensorflow, git, azure, python",4,88230
AI00147,AI Research Scientist,"kubernetes, deep learning, pytorch",19,224919
AI00148,Machine Learning Researcher,"sql, data visualization, gcp, deep learning, mlops",12,220439
AI00149,NLP Engineer,"gcp, python, computer vision, git",0,48861
AI00150,AI Specialist,"tensorflow, kubernetes, deep learning",7,115841
AI00151,NLP Engineer,"computer vision, pytorch, linux, tensorflow",3,57266
AI00152,Deep Learning Engineer,"git, tableau, hadoop, computer vision",2,66384
AI00153,Data Analyst,"r, sql, data visualization",11,184637
AI00154,AI Research Scientist,"linux, python, scala, docker",4,92445
AI00155,Machine Learning Researcher,"python, gcp, tensorflow",1,57388
AI00156,Head of AI,"docker, deep learning, r",2,53374
AI00157,AI Research Scientist,"git, spark, azure, statistics",6,95716
AI00158,NLP Engineer,"python, java, kubernetes, sql, nlp",2,157091
AI00159,ML Ops Engineer,"hadoop, mathematics, linux",8,204144
AI00160,AI Software Engineer,"gcp, computer vision, scala, aws, linux",12,190314
AI00161,Principal Data Scientist,"data visualization, sql, scala",15,198403
AI00162,Research Scientist,"sql, tableau, statistics, gcp",7,153040
AI00163,AI Software Engineer,"deep learning, python, nlp",2,51898
AI00164,AI Architect,"r, aws, git, tableau",7,115191
AI00165,ML Ops Engineer,"python, spark, hadoop",5,170139
AI00166,ML Ops Engineer,"linux, tensorflow, gcp, docker, azure",0,63860
AI00167,NLP Engineer,"tensorflow, docker, aws, spark",3,125152
AI00168,AI Software Engineer,"linux, azure, kubernetes",0,61572
AI00169,Head of AI,"statistics, tableau, java, data visualization, nlp",3,101054
AI00170,Data Engineer,"spark, linux, aws, deep learning",13,145355
AI00171,Deep Learning Engineer,"scala, data visualization, tensorflow, mathematics, java",19,183484
AI00172,AI Product Manager,"pytorch, scala, hadoop, docker, computer vision",2,111997
AI00173,AI Specialist,"tableau, gcp, python",19,214195
AI00174,AI Software Engineer,"python, tensorflow, gcp, java",9,93211
AI00175,Deep Learning Engineer,"statistics, tensorflow, python",1,82209
AI00176,AI Software Engineer,"scala, hadoop, azure",9,149669
AI00177,AI Software Engineer,"linux, azure, git, deep learning, spark",3,56825
AI00178,Research Scientist,"kubernetes, git, gcp, nlp",2,131635
AI00179,NLP Engineer,"scala, python, data visualization, kubernetes, statistics",7,163843
AI00180,AI Consultant,"deep learning, azure, python",2,73281
AI00181,Principal Data Scientist,"statistics, aws, java, pytorch",3,51907
AI00182,NLP Engineer,"python, spark, tensorflow",12,178240
AI00183,Machine Learning Researcher,"sql, docker, linux, gcp",7,83226
AI00184,AI Product Manager,"pytorch, nlp, mlops, azure",1,46995
AI00185,AI Research Scientist,"docker, azure, nlp",14,275296
AI00186,Deep Learning Engineer,"python, tensorflow, r",11,300422
AI00187,AI Product Manager,"sql, pytorch, nlp, data visualization",2,116704
AI00188,AI Specialist,"java, python, mathematics",0,98422
AI00189,Machine Learning Researcher,"mathematics, docker, deep learning",15,210249
AI00190,NLP Engineer,"nlp, r, scala, computer vision, azure",3,67708
AI00191,Data Engineer,"python, tensorflow, scala, aws",13,95796
AI00192,Head of AI,"pytorch, sql, kubernetes, git, java",17,229098
AI00193,ML Ops Engineer,"java, python, deep learning, statistics",11,134300
AI00194,AI Specialist,"tensorflow, docker, r, nlp, java",1,74408
AI00195,AI Architect,"java, scala, tableau",13,201971
AI00196,AI Software Engineer,"gcp, tensorflow, data visualization",17,180764
AI00197,Principal Data Scientist,"linux, pytorch, tensorflow, azure, python",0,49644
AI00198,AI Product Manager,"mlops, python, linux, nlp",7,89115
AI00199,AI Software Engineer,"linux, kubernetes, spark, java",1,38540
AI00200,AI Product Manager,"tensorflow, kubernetes, sql, linux, mathematics",7,180252
AI00201,Robotics Engineer,"mlops, java, aws, nlp, pytorch",1,56585
AI00202,AI Specialist,"statistics, python, tensorflow",5,103942
AI00203,Autonomous Systems Engineer,"pytorch, sql, tensorflow, git, azure",9,176009
AI00204,AI Specialist,"scala, sql, deep learning, statistics, gcp",2,59056
AI00205,AI Consultant,"aws, scala, docker",3,76940
AI00206,Machine Learning Engineer,"spark, kubernetes, mathematics",7,110341
AI00207,Data Scientist,"python, sql, git",4,102922
AI00208,Machine Learning Researcher,"python, gcp, docker, git, java",0,44130
AI00209,Data Engineer,"mathematics, hadoop, tableau",5,128112
AI00210,Data Analyst,"linux, python, nlp",0,48892
AI00211,Research Scientist,"java, docker, hadoop",4,127478
AI00212,AI Research Scientist,"python, kubernetes, statistics, tensorflow",6,100524
AI00213,Deep Learning Engineer,"gcp, deep learning, python, mlops",0,45429
AI00214,ML Ops Engineer,"r, sql, aws, mlops, data visualization",4,62262
AI00215,AI Specialist,"azure, python, tensorflow, data visualization",4,68595
AI00216,AI Software Engineer,"gcp, azure, deep learning, spark, sql",18,301038
AI00217,Robotics Engineer,"mlops, data visualization, git, tensorflow, hadoop",1,46253
AI00218,NLP Engineer,"r, docker, gcp, java",0,59644
AI00219,Principal Data Scientist,"pytorch, mlops, computer vision, aws, deep learning",3,53960
AI00220,Computer Vision Engineer,"aws, hadoop, python, scala, computer vision",1,94894
AI00221,Autonomous Systems Engineer,"pytorch, sql, kubernetes",5,91611
AI00222,NLP Engineer,"sql, linux, tableau, mlops, spark",18,285880
AI00223,AI Architect,"mathematics, hadoop, scala, nlp, kubernetes",3,115263
AI00224,Research Scientist,"scala, r, sql",3,51882
AI00225,Data Scientist,"java, python, mlops, docker",2,82051
AI00226,ML Ops Engineer,"sql, nlp, python",5,122331
AI00227,AI Product Manager,"data visualization, linux, gcp, hadoop",5,159643
AI00228,Research Scientist,"hadoop, python, linux, mathematics",15,254305
AI00229,Data Analyst,"kubernetes, linux, tableau, mlops, statistics",2,52027
AI00230,Robotics Engineer,"docker, pytorch, spark, tensorflow, nlp",0,43072
AI00231,Research Scientist,"tableau, linux, pytorch, java, aws",4,87011
AI00232,AI Research Scientist,"azure, python, mathematics",1,36734
AI00233,Head of AI,"tensorflow, linux, deep learning, hadoop",3,84897
AI00234,AI Research Scientist,"tensorflow, azure, tableau, data visualization, hadoop",5,173839
AI00235,ML Ops Engineer,"nlp, tableau, kubernetes, sql, gcp",0,59357
AI00236,Data Scientist,"scala, python, data visualization",0,51431
AI00237,Autonomous Systems Engineer,"hadoop, spark, kubernetes, scala",5,96506
AI00238,Data Analyst,"linux, kubernetes, data visualization, tensorflow, docker",1,59198
AI00239,Machine Learning Engineer,"git, statistics, data visualization, python, scala",12,223757
AI00240,Deep Learning Engineer,"hadoop, spark, tableau, r, python",1,74322
AI00241,Research Scientist,"tensorflow, mlops, kubernetes, sql, java",2,120749
AI00242,NLP Engineer,"hadoop, azure, java, mlops",15,138212
AI00243,Robotics Engineer,"git, docker, statistics, mathematics",15,199039
AI00244,AI Specialist,"spark, git, hadoop",6,105699
AI00245,Research Scientist,"python, mathematics, pytorch, spark",0,38497
AI00246,AI Product Manager,"r, azure, mlops",3,63141
AI00247,AI Specialist,"git, statistics, mathematics, hadoop, java",9,87871
AI00248,Research Scientist,"sql, statistics, mathematics, tensorflow, gcp",18,255678
AI00249,Data Analyst,"java, azure, tableau, python",7,132056
AI00250,AI Research Scientist,"git, scala, nlp, python",6,146085
AI00251,Data Engineer,"pytorch, python, deep learning, sql, mlops",3,85037
AI00252,AI Product Manager,"python, linux, tableau, sql, mlops",1,42661
AI00253,Deep Learning Engineer,"tensorflow, hadoop, python, java, docker",7,119706
AI00254,Computer Vision Engineer,"pytorch, java, kubernetes",10,110064
AI00255,Research Scientist,"azure, pytorch, nlp, tensorflow",9,91090
AI00256,Principal Data Scientist,"spark, java, gcp",4,80307
AI00257,AI Product Manager,"sql, python, gcp",3,107321
AI00258,Head of AI,"python, gcp, mathematics, scala, deep learning",0,59373
AI00259,Machine Learning Researcher,"gcp, python, azure, scala",0,65191
AI00260,Robotics Engineer,"tensorflow, pytorch, spark",16,152969
AI00261,Research Scientist,"r, python, data visualization, tensorflow",8,147893
AI00262,Principal Data Scientist,"data visualization, scala, python, sql, linux",0,69807
AI00263,AI Software Engineer,"java, aws, gcp, spark",0,67824
AI00264,Data Engineer,"aws, mathematics, linux",10,141523
AI00265,Data Analyst,"scala, aws, spark, deep learning",9,122796
AI00266,AI Consultant,"scala, gcp, mlops, python, computer vision",3,81885
AI00267,Data Analyst,"scala, mathematics, mlops, python",5,118505
AI00268,Robotics Engineer,"r, git, statistics, spark, python",5,133565
AI00269,Data Analyst,"java, kubernetes, tableau",1,60019
AI00270,ML Ops Engineer,"docker, hadoop, pytorch, python, java",0,76875
AI00271,Deep Learning Engineer,"aws, r, python",1,64400
AI00272,Autonomous Systems Engineer,"mlops, data visualization, deep learning, python",3,68857
AI00273,Computer Vision Engineer,"r, linux, aws",7,97840
AI00274,Machine Learning Engineer,"azure, git, sql, nlp, docker",18,168619
AI00275,Machine Learning Researcher,"git, nlp, mlops",8,118132
AI00276,Principal Data Scientist,"java, git, data visualization, sql, kubernetes",7,81112
AI00277,Head of AI,"git, java, mlops",4,111502
AI00278,NLP Engineer,"tensorflow, kubernetes, git, computer vision, statistics",5,151610
AI00279,Machine Learning Engineer,"linux, statistics, mlops, computer vision, deep learning",7,95128
AI00280,Machine Learning Engineer,"tableau, gcp, sql, mlops",8,136733
AI00281,ML Ops Engineer,"gcp, r, python, kubernetes",3,69822
AI00282,Machine Learning Researcher,"azure, python, data visualization",0,88380
AI00283,NLP Engineer,"pytorch, scala, nlp, gcp",18,199482
AI00284,Deep Learning Engineer,"java, hadoop, deep learning, tensorflow",4,56268
AI00285,Data Engineer,"deep learning, statistics, docker",12,142301
AI00286,NLP Engineer,"spark, python, tableau",15,178371
AI00287,Computer Vision Engineer,"tableau, sql, mlops, pytorch",12,157412
AI00288,AI Software Engineer,"docker, tensorflow, hadoop, git, scala",12,250562
AI00289,Data Engineer,"tableau, aws, nlp, scala",14,167401
AI00290,Computer Vision Engineer,"git, sql, spark, mlops",0,85328
AI00291,AI Consultant,"tableau, linux, sql, spark, gcp",5,94160
AI00292,NLP Engineer,"hadoop, sql, computer vision",17,147732
AI00293,Autonomous Systems Engineer,"sql, mlops, data visualization, scala, git",0,50749
AI00294,AI Consultant,"data visualization, hadoop, scala, aws",19,222223
AI00295,Data Analyst,"mathematics, scala, mlops, sql",0,47958
AI00296,Data Scientist,"r, sql, scala",1,52877
AI00297,AI Research Scientist,"git, aws, pytorch",19,138782
AI00298,AI Specialist,"computer vision, sql, java, gcp",5,66150
